"","Year","Geo","State","Region","Commodity","Measurement","Unit.of.Measurement","label","Treat","Name","ID","Real","LD50","tox"
"26",2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN ",129064,181.4368,22192.00675,0.00817577256730061
"27",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," HERBICIDE","PRONAMIDE ",101701,90.7184,297372.89045,0.000305066140570918
"28",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS ",59101,4989.512,177536.054,0.0281042182000958
"29",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","DIAZINON ",57801,9706.8688,6746.370052,1.43882839589007
"30",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","DISULFOTON ",32501,4626.6384,177.536054,26.0602750582707
"31",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","EMAMECTIN BENZOATE ",122806,90.7184,NA,NA
"32",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE ",109303,498.9512,7811.586376,0.063873223182036
"33",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN ",128897,136.0776,4971.009512,0.0273742385065869
"34",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL ",90301,1632.9312,3994.561215,0.408788628365031
"35",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN ",109701,136.0776,41720.97269,0.0032616113965295
"36",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","BROCCOLI"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN ",129064,362.8736,22192.00675,0.0163515451346012
